,Id,Name,NF_Stage_Duration__c,StageName,NF_Stage_Change_Count__c,NF_Days_Through_Closing__c,NF_Days_Through_Qualified__c,Amount,NF_Client_Rev_Mil__c,NF_Client_Size_Employee__c,NF_Rev_T24M_Category__c,NF_Ratio_Identified_To_Total_Days__c,NF_Ratio_Validated_To_Total_Days__c,NF_Ratio_Qualified_To_Total_Days__c,NF_Deal_Size_Category__c,NF_Subgroup__c_Batteries & Accessories,NF_Subgroup__c_Car Electronics,NF_Subgroup__c_Exterior Accessories,NF_Subgroup__c_Garage & Car Care,NF_Subgroup__c_Interior Accessories,NF_Subgroup__c_Motorcycle Parts,NF_Subgroup__c_Performance Parts,NF_Subgroup__c_Replacement Parts,NF_Subgroup__c_Shelters & RV,NF_Subgroup__c_Tires & Wheels,NF_Subgroup__c_Towing & Hitches,NF_Group__c_Car Accessories,NF_Group__c_Car Electronics,NF_Group__c_Performance & Non-auto,NF_Group__c_Tires & Wheels,NF_Region__c_Mid-Atlantic,NF_Region__c_Midwest,NF_Region__c_Northeast,NF_Region__c_Northwest,NF_Region__c_Pacific,NF_Region__c_Southeast,NF_Region__c_Southwest,NF_Route__c_Fields Sales,NF_Route__c_Other,NF_Route__c_Reseller,NF_Route__c_Telecoverage,NF_Route__c_Telesales,MainCompetitors__c_Known,MainCompetitors__c_None,MainCompetitors__c_Unknown
0,0061N00000VboHjQAJ,9635337,0.0952380952381,0.0,0.0625,0.0218579234973,0.0218579234973,0.07,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
1,0061N00000VboHkQAJ,9448187,0.0952380952381,0.0,0.0625,0.0601092896175,0.0601092896175,0.077507,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
2,0061N00000VboHlQAJ,7201894,0.587301587302,1.0,0.0625,0.016393442623,0.016393442623,0.048192,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,0061N00000VboHmQAJ,6622573,0.388888888889,0.0,0.0625,0.273224043716,0.273224043716,0.04,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.333333333333,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
4,0061N00000VboHnQAJ,7969619,0.261904761905,1.0,0.0625,0.0765027322404,0.0765027322404,0.03,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
5,0061N00000VboHoQAJ,7905737,0.388888888889,1.0,0.0,0.0,0.0,0.55,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
6,0061N00000VboHpQAJ,6786314,0.690476190476,0.0,0.0625,0.0273224043716,0.0273224043716,0.3,1.0,0.0,0.0,0.0,0.69314718056,0.0,0.833333333333,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
7,0061N00000VboHqQAJ,6472210,0.595238095238,0.0,0.0625,0.158469945355,0.158469945355,0.03,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.333333333333,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
8,0061N00000VboHrQAJ,6665149,0.18253968254,1.0,0.0625,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
9,0061N00000VboHsQAJ,6784604,0.333333333333,1.0,0.25,0.0655737704918,0.0546448087432,0.055,0.0,1.0,1.0,0.0,0.606926218383,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
10,0061N00000VboHtQAJ,9557553,0.150793650794,1.0,0.0,0.0,0.0,0.01345,0.0,0.0,0.5,0.0,0.0,0.0,0.166666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
11,0061N00000VboHuQAJ,9509259,0.142857142857,1.0,0.0625,0.016393442623,0.016393442623,0.03,0.0,0.0,0.75,0.0,0.69314718056,0.0,0.333333333333,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
12,0061N00000VboHvQAJ,7309763,0.301587301587,1.0,0.0625,0.185792349727,0.185792349727,0.015,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
13,0061N00000VboHwQAJ,8245052,0.301587301587,1.0,0.0,0.0,0.0,0.00624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
14,0061N00000VboHxQAJ,9840155,0.047619047619,0.0,0.0625,0.0218579234973,0.0218579234973,0.054255,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
15,0061N00000VboHyQAJ,7667117,0.428571428571,0.0,0.125,0.0218579234973,0.0218579234973,0.05,0.0,0.0,0.0,0.237671901877,0.549107627238,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
16,0061N00000VboHzQAJ,8232300,0.293650793651,1.0,0.1875,0.00546448087432,0.00546448087432,0.02096,0.0,0.0,1.0,0.0689932714869,0.356674643939,0.0,0.166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
17,0061N00000VboI0QAJ,5998888,0.52380952381,1.0,0.375,0.256830601093,0.245901639344,0.009544,0.0,0.75,0.75,0.383376269421,0.26415189647,0.165263559552,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
18,0061N00000VboI1QAJ,7924290,0.293650793651,1.0,0.3125,0.0655737704918,0.0546448087432,0.015,0.0,0.0,1.0,0.121606826751,0.263689539748,0.346276163547,0.166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
19,0061N00000VboI2QAJ,8022139,0.301587301587,0.0,0.0625,0.0437158469945,0.0437158469945,0.02,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.166666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
20,0061N00000VboI3QAJ,7051821,0.603174603175,0.0,0.0625,0.0327868852459,0.0327868852459,0.02,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
21,0061N00000VboI4QAJ,6039787,0.18253968254,1.0,0.125,0.0218579234973,0.0218579234973,0.01,0.0,0.0,0.25,0.0,0.69314718056,0.0,0.166666666667,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
22,0061N00000VboI5QAJ,6669777,0.333333333333,1.0,0.25,0.120218579235,0.120218579235,0.0,1.0,0.5,0.5,0.0717800503594,0.0804004898157,0.610775930602,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
23,0061N00000VboI6QAJ,9447785,0.18253968254,1.0,0.0,0.0,0.0,0.00644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24,0061N00000VboI7QAJ,8202970,0.293650793651,1.0,0.125,0.016393442623,0.016393442623,0.067652,0.0,0.0,0.0,0.0,0.033901785009,0.675755315041,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
25,0061N00000VboI8QAJ,7615630,0.47619047619,1.0,0.0625,0.00546448087432,0.00546448087432,0.00458,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
26,0061N00000VboI9QAJ,8245371,0.293650793651,1.0,0.0625,0.00546448087432,0.00546448087432,0.0025,0.0,0.0,0.25,0.69314718056,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
27,0061N00000VboIAQAZ,9679609,0.111111111111,0.0,0.0625,0.00546448087432,0.00546448087432,0.1,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
28,0061N00000VboIBQAZ,8127963,0.333333333333,1.0,0.0,0.0,0.0,0.02248,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
29,0061N00000VboICQAZ,7800813,0.0,0.0,0.25,0.289617486339,0.289617486339,0.28,0.0,0.0,0.0,0.0482471596263,0.34808313987,0.428022760365,0.833333333333,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
30,0061N00000VboIDQAZ,7006800,0.666666666667,1.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.166666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31,0061N00000VboIEQAZ,5971050,0.611111111111,0.0,0.1875,0.256830601093,0.256830601093,0.015,0.5,0.25,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
32,0061N00000VboIFQAZ,7346928,0.460317460317,1.0,0.125,0.0710382513661,0.0710382513661,0.044,0.0,0.0,0.0,0.0,0.423671036522,0.386921567829,0.333333333333,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
33,0061N00000VboIGQAZ,7935097,0.126984126984,0.0,0.1875,0.174863387978,0.174863387978,0.3,0.0,0.0,0.0,0.242273795749,0.296984173447,0.322128425696,0.833333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
34,0061N00000VboIHQAZ,7504002,0.111111111111,0.0,0.0625,0.0,0.0,0.06,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
35,0061N00000VboIIQAZ,9529231,0.111111111111,1.0,0.0625,0.0327868852459,0.0327868852459,0.028,0.0,0.0,0.25,0.0,0.69314718056,0.0,0.333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36,0061N00000VboIJQAZ,9433675,0.166666666667,0.0,0.0625,0.0109289617486,0.0109289617486,0.005,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
37,0061N00000VboIKQAZ,8100583,0.293650793651,0.0,0.125,0.0327868852459,0.0327868852459,0.04,0.0,0.0,0.0,0.0,0.105360415658,0.635988825544,0.333333333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38,0061N00000VboILQAZ,6577511,0.333333333333,1.0,0.1875,0.00546448087432,0.00546448087432,3e-05,0.75,1.0,0.25,0.133531267625,0.619039285329,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
39,0061N00000VboIMQAZ,8373742,0.230158730159,0.0,0.0625,0.0218579234973,0.0218579234973,0.040072,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
40,0061N00000VboINQAZ,8437624,0.142857142857,0.0,0.0625,0.0710382513661,0.0710382513661,0.008433,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
41,0061N00000VboIOQAZ,8304338,0.166666666667,0.0,0.125,0.0819672131148,0.0819672131148,0.085,0.0,0.0,0.0,0.0,0.525781820183,0.268666670213,0.5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
42,0061N00000VboIPQAZ,8085262,0.126984126984,0.0,0.0625,0.147540983607,0.147540983607,0.05,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.5,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
43,0061N00000VboIQQAZ,7445017,0.492063492063,0.0,0.125,0.0218579234973,0.0218579234973,0.1,1.0,1.0,0.0,0.0,0.174353227145,0.593063827266,0.666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
44,0061N00000VboIRQAZ,7216314,0.587301587302,1.0,0.0625,0.00546448087432,0.00546448087432,0.000156,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
45,0061N00000VboISQAZ,9412188,0.031746031746,0.0,0.125,0.109289617486,0.109289617486,0.025,0.0,0.0,0.5,0.0,0.570116462371,0.20825486282,0.333333333333,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
46,0061N00000VboITQAZ,6245851,0.492063492063,0.0,0.25,0.284153005464,0.284153005464,0.0035,0.5,0.25,0.0,0.0,0.00192913801611,0.692181214165,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
47,0061N00000VboIUQAZ,9626916,0.126984126984,1.0,0.0,0.0,0.0,0.007111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
48,0061N00000VboIVQAZ,9742139,0.0873015873016,1.0,0.0625,0.0109289617486,0.0109289617486,0.004186,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
49,0061N00000VboIWQAZ,6649815,0.611111111111,0.0,0.125,0.109289617486,0.109289617486,0.1,0.75,0.75,0.0,0.14211482435,0.613720241595,0.0,0.666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
50,0061N00000VboIXQAZ,6725948,0.753968253968,1.0,0.0625,0.0,0.0,0.0055,0.0,0.5,0.0,0.0,0.69314718056,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
51,0061N00000VboIYQAZ,8472674,0.230158730159,1.0,0.0,0.0,0.0,0.000672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
52,0061N00000VboIZQAZ,5970507,0.722222222222,0.0,0.0625,0.185792349727,0.185792349727,0.16,1.0,0.5,0.0,0.0,0.69314718056,0.0,0.666666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
53,0061N00000VboIaQAJ,7732051,0.420634920635,1.0,0.125,0.00546448087432,0.00546448087432,0.0495,0.0,0.0,0.75,0.0,0.69314718056,0.0,0.333333333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
54,0061N00000VboIbQAJ,7557757,0.31746031746,1.0,0.6875,0.0710382513661,0.0655737704918,0.015,0.0,0.0,0.0,0.0870112936563,0.0150383549764,0.572519038925,0.166666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
55,0061N00000VboIcQAJ,5552437,0.325396825397,1.0,0.25,0.0710382513661,0.0710382513661,0.005,0.25,0.25,0.0,0.0,0.439544421761,0.370183293964,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
56,0061N00000VboIdQAJ,7601782,0.428571428571,0.0,0.0625,0.0327868852459,0.0327868852459,0.125,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.666666666667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
57,0061N00000VboIeQAJ,9500967,0.142857142857,1.0,0.125,0.016393442623,0.00546448087432,0.006,0.0,0.0,0.0,0.0,0.323787119647,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
58,0061N00000VboIfQAJ,7493739,0.515873015873,1.0,0.0,0.0,0.0,0.003312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
59,0061N00000VboIgQAJ,6741098,0.492063492063,1.0,0.0625,0.174863387978,0.174863387978,0.021702,0.25,0.25,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
60,0061N00000VboIhQAJ,6103690,0.722222222222,0.0,0.1875,0.158469945355,0.158469945355,0.015,0.5,0.25,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
61,0061N00000VboIiQAJ,8368683,0.0793650793651,0.0,0.0625,0.131147540984,0.131147540984,0.2945,0.0,0.0,0.0,0.69314718056,0.0,0.0,0.833333333333,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
62,0061N00000VboIjQAJ,9619309,0.00793650793651,1.0,0.125,0.0874316939891,0.0874316939891,0.22,0.0,0.0,0.0,0.0,0.262364264467,0.530628251062,0.666666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
63,0061N00000VboIkQAJ,6652527,0.650793650794,0.0,0.0625,0.0819672131148,0.0819672131148,0.01225,0.25,0.25,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
64,0061N00000VboIlQAJ,6636511,0.555555555556,1.0,0.125,0.158469945355,0.109289617486,0.0097,0.5,0.5,0.25,0.0,0.521952489953,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
65,0061N00000VboImQAJ,7561313,0.452380952381,1.0,0.1875,0.0327868852459,0.0273224043716,0.05,0.0,0.0,0.5,0.0,0.278713726793,0.474458068484,0.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
66,0061N00000VboInQAJ,7020190,0.277777777778,0.0,0.0625,0.267759562842,0.267759562842,0.015337,0.0,0.0,0.0,0.0,0.69314718056,0.0,0.166666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
67,0061N00000VboIoQAJ,7447943,0.515873015873,0.0,0.0625,0.0109289617486,0.0109289617486,0.012048,0.0,0.75,0.0,0.0,0.69314718056,0.0,0.166666666667,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
68,0061N00000VboIpQAJ,7055352,0.650793650794,1.0,0.0625,0.0,0.0,0.027,1.0,0.75,0.0,0.0,0.0,0.0,0.333333333333,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
