,Id,Name,NF_Subgroup__c,NF_Group__c,NF_Region__c,NF_Route__c,NF_Stage_Duration__c,StageName,NF_Stage_Change_Count__c,NF_Days_Through_Closing__c,NF_Days_Through_Qualified__c,Amount,NF_Client_Rev_Mil__c,NF_Client_Size_Employee__c,NF_Rev_T24M_Category__c,MainCompetitors__c,NF_Ratio_Identified_To_Total_Days__c,NF_Ratio_Validated_To_Total_Days__c,NF_Ratio_Qualified_To_Total_Days__c,NF_Deal_Size_Category__c
0,0061N00000VboHjQAJ,9635337,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,12.0,Closed Lost,2.0,4.0,4.0,70000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,4.0
1,0061N00000VboHkQAJ,9448187,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,12.0,Closed Lost,2.0,11.0,11.0,77507.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,4.0
2,0061N00000VboHlQAJ,7201894,Exterior Accessories,Car Accessories,Northwest,Reseller,74.0,Closed Won,2.0,3.0,3.0,48192.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
3,0061N00000VboHmQAJ,6622573,Towing & Hitches,Car Accessories,Midwest,Reseller,49.0,Closed Lost,2.0,50.0,50.0,40000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
4,0061N00000VboHnQAJ,7969619,Exterior Accessories,Car Accessories,Midwest,Reseller,33.0,Closed Won,2.0,14.0,14.0,30000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
5,0061N00000VboHoQAJ,7905737,Batteries & Accessories,Car Accessories,Midwest,Reseller,49.0,Closed Won,1.0,0.0,0.0,550000.0,1.0,1.0,4.0,Unknown,0.0,0.0,0.0,7.0
6,0061N00000VboHpQAJ,6786314,Batteries & Accessories,Car Accessories,Northwest,Fields Sales,87.0,Closed Lost,2.0,5.0,5.0,300000.0,5.0,1.0,0.0,Known,0.0,1.0,0.0,6.0
7,0061N00000VboHqQAJ,6472210,Interior Accessories,Car Accessories,Midwest,Fields Sales,75.0,Closed Lost,2.0,29.0,29.0,30000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,3.0
8,0061N00000VboHrQAJ,6665149,Garage & Car Care,Car Accessories,Southeast,Reseller,23.0,Closed Won,2.0,0.0,0.0,25000.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,3.0
9,0061N00000VboHsQAJ,6784604,Exterior Accessories,Car Accessories,Southwest,Fields Sales,42.0,Closed Won,5.0,12.0,10.0,55000.0,1.0,5.0,4.0,Known,0.0,0.834783,0.0,4.0
10,0061N00000VboHtQAJ,9557553,Shelters & RV,Performance & Non-auto,Midwest,Reseller,19.0,Closed Won,1.0,0.0,0.0,13450.0,1.0,1.0,2.0,Unknown,0.0,0.0,0.0,2.0
11,0061N00000VboHuQAJ,9509259,Exterior Accessories,Car Accessories,Southwest,Reseller,18.0,Closed Won,2.0,3.0,3.0,30000.0,1.0,1.0,3.0,Unknown,0.0,1.0,0.0,3.0
12,0061N00000VboHvQAJ,7309763,Replacement Parts,Car Accessories,Mid-Atlantic,Reseller,38.0,Closed Won,2.0,34.0,34.0,15000.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,2.0
13,0061N00000VboHwQAJ,8245052,Garage & Car Care,Car Accessories,Midwest,Reseller,38.0,Closed Won,1.0,0.0,0.0,6240.0,1.0,1.0,0.0,Unknown,0.0,0.0,0.0,1.0
14,0061N00000VboHxQAJ,9840155,Exterior Accessories,Car Accessories,Southeast,Fields Sales,6.0,Closed Lost,2.0,4.0,4.0,54255.0,1.0,1.0,0.0,Unknown,0.0,1.0,0.0,4.0
15,0061N00000VboHyQAJ,7667117,Interior Accessories,Car Accessories,Northeast,Fields Sales,54.0,Closed Lost,3.0,4.0,4.0,50000.0,1.0,1.0,0.0,Unknown,0.268293,0.731707,0.0,4.0
16,0061N00000VboHzQAJ,8232300,Garage & Car Care,Car Accessories,Midwest,Reseller,37.0,Closed Won,4.0,1.0,1.0,20960.0,1.0,1.0,4.0,Known,0.071429,0.428571,0.0,2.0
