Random Num,NF_Opportunity,Close Date,Opportunity Name,NF_Subgroup,NF_Group,NF_Region,NF_Route,NF_Stage_Duration,Stage,NF_Stage_Change_Count,NF_Days_Through_Closing,NF_Days_Through_Qualified,Amount,NF_Client_Rev_Mil,NF_Client_Size_Employee,NF_Rev_T24M_Category,Main Compeitor(s),NF_Ratio_Identified_To_Total_Days,NF_Ratio_Validated_To_Total_Days,NF_Ratio_Qualified_To_Total_Days,NF_Deal_Size_Category
2,1,1/1/2018,7313518,Batteries & Accessories,Car Accessories,Pacific,Reseller,71,Closed Won,2,1,1,2500,1,1,0,Unknown,0,1,0,1
3,1,1/1/2018,8269685,Garage & Car Care,Car Accessories,Midwest,Reseller,37,Closed Won,2,1,1,86560,1,1,0,Known,0,1,0,4
6,1,1/1/2018,7997526,Batteries & Accessories,Car Accessories,Northwest,Fields Sales,38,Closed Won,2,9,9,346360,1,1,4,Unknown,0,0,1,6
7,1,1/1/2018,7188806,Garage & Car Care,Car Accessories,Southeast,Fields Sales,67,Closed Lost,2,10,10,200000,1,1,0,Known,0,1,0,5
7,1,1/1/2018,6737022,Motorcycle Parts,Performance & Non-auto,Pacific,Reseller,70,Closed Lost,2,24,24,25002,1,1,0,Unknown,0,1,0,3
7,1,1/1/2018,7609082,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,60,Closed Lost,1,0,0,0,1,1,0,Unknown,0,0,0,1
7,1,1/1/2018,10089962,Batteries & Accessories,Car Accessories,Northwest,Reseller,0,Closed Won,1,0,0,72289,1,1,0,Unknown,0,0,0,4
8,1,1/1/2018,7807939,Performance Parts,Performance & Non-auto,Northwest,Fields Sales,33,Closed Won,3,20,3,30000,1,1,0,Unknown,0,0,0.170854,3
8,1,1/1/2018,8532020,Exterior Accessories,Car Accessories,Pacific,Reseller,21,Closed Won,3,6,6,94558,1,1,0,Unknown,0,0.409836,0.590164,4
9,1,1/1/2018,7850780,Interior Accessories,Car Accessories,Northeast,Reseller,23,Closed Won,5,14,14,12074,1,1,0,Unknown,0,0.676471,0.323529,2
11,1,1/1/2018,7698404,Shelters & RV,Performance & Non-auto,Mid-Atlantic,Fields Sales,56,Closed Won,5,1,1,18714,1,1,0,Known,0,0.777778,0,2
12,1,1/1/2018,9758556,Replacement Parts,Car Accessories,Southeast,Reseller,3,Closed Won,3,9,9,1000,1,1,0,None,0,1,0,1
12,1,1/1/2018,9512827,Exterior Accessories,Car Accessories,Midwest,Telesales,9,Closed Won,3,11,11,20000,1,1,0,None,0.99115,0.00885,0,2
13,1,1/1/2018,6831404,Replacement Parts,Car Accessories,Pacific,Fields Sales,90,Closed Won,1,0,0,92874,5,5,2,Unknown,0,0,0,4
15,1,1/1/2018,7327057,Interior Accessories,Car Accessories,Midwest,Fields Sales,15,Closed Lost,4,24,24,69000,4,1,0,Unknown,0.079498,0.920502,0,4
15,1,1/1/2018,6302401,Exterior Accessories,Car Accessories,Northeast,Fields Sales,90,Closed Lost,3,22,22,100000,1,1,0,Unknown,0.450893,0.549107,0,5
15,1,1/1/2018,7857030,Motorcycle Parts,Performance & Non-auto,Pacific,Fields Sales,9,Closed Won,6,31,30,584000,1,1,0,None,0.044586,0.121019,0.792994,7
16,1,1/1/2018,9627317,Motorcycle Parts,Performance & Non-auto,Midwest,Reseller,12,Closed Won,2,5,5,25000,1,1,0,Unknown,0,1,0,3
17,1,1/1/2018,9818349,Shelters & RV,Performance & Non-auto,Midwest,Fields Sales,5,Closed Lost,2,5,5,50000,1,1,0,Unknown,1,0,0,4
18,1,1/1/2018,8350917,Exterior Accessories,Car Accessories,Pacific,Reseller,27,Closed Lost,2,7,7,62005,1,1,0,None,0,1,0,4
18,1,1/1/2018,7106629,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,72,Closed Won,4,4,4,201000,1,1,0,Known,0,0.421053,0.578947,5
19,1,1/1/2018,6640382,Motorcycle Parts,Performance & Non-auto,Northwest,Fields Sales,83,Closed Lost,3,15,15,105000,2,2,0,Known,0.318182,0.681818,0,5
19,1,1/1/2018,9439451,Exterior Accessories,Car Accessories,Mid-Atlantic,Fields Sales,7,Closed Lost,2,16,16,25000,1,1,0,Unknown,1,0,0,3
20,1,1/1/2018,7902110,Batteries & Accessories,Car Accessories,Northeast,Fields Sales,16,Closed Lost,2,33,33,110000,1,1,0,Known,1,0,0,5
20,1,1/1/2018,7506656,Replacement Parts,Car Accessories,Midwest,Reseller,57,Closed Won,2,8,8,9338,3,3,3,Unknown,0,1,0,1
22,1,1/1/2018,8075950,Towing & Hitches,Car Accessories,Southeast,Fields Sales,41,Closed Lost,3,3,3,0,1,1,0,Known,0.677419,0.322581,0,1
22,1,1/1/2018,9626177,Motorcycle Parts,Performance & Non-auto,Midwest,Fields Sales,16,Closed Lost,1,0,0,48000,1,1,0,None,0,0,0,3
23,1,1/1/2018,9397772,Shelters & RV,Performance & Non-auto,Northwest,Fields Sales,10,Closed Won,4,15,14,130000,1,1,2,Unknown,0,0.813333,0.14,5
24,1,1/1/2018,8490619,Batteries & Accessories,Car Accessories,Midwest,Fields Sales,28,Closed Lost,2,1,1,10000,1,1,2,Unknown,0,1,0,2
24,1,1/1/2018,6821196,Exterior Accessories,Car Accessories,Northwest,Fields Sales,86,Closed Won,3,4,4,34883,5,1,4,Known,0.928571,0.071429,0,3
24,1,1/1/2018,6298439,Exterior Accessories,Car Accessories,Pacific,Reseller,24,Closed Won,5,12,3,46504,1,1,0,Unknown,0,0.008475,0.228814,3
26,1,1/1/2018,8175245,Shelters & RV,Performance & Non-auto,Southwest,Fields Sales,21,Closed Lost,2,19,19,300000,1,1,0,Unknown,1,0,0,6
27,1,1/1/2018,8203189,Garage & Car Care,Car Accessories,Mid-Atlantic,Reseller,37,Closed Won,2,2,2,8050,1,1,0,Unknown,0,1,0,1
27,1,1/1/2018,8502828,Exterior Accessories,Car Accessories,Midwest,Fields Sales,19,Closed Won,4,9,9,429447,1,1,0,Unknown,0,0.561798,0.438202,6
